x,y,line,algo,step,reward,zeros,sum,biggest,a0,a1,a2,a3,a4,a5,a6,a7,a8,cnt0,cnt2,cnt4,cnt8,cnt16,cnt32
160,3,zeros-la-3-0,zeros-la-3,24,160,3,58,32,0,2,0,8,8,0,4,4,32,3,1,2,2,0,1
184,4,zeros-la-3-0,zeros-la-3,25,184,4,60,32,2,0,0,16,0,0,8,32,2,4,2,0,1,1,1
184,3,zeros-la-3-0,zeros-la-3,26,184,3,62,32,2,0,2,16,0,0,8,32,2,3,3,0,1,1,1
188,3,zeros-la-3-0,zeros-la-3,27,188,3,64,32,2,0,2,16,0,0,8,32,4,3,2,1,1,1,1
192,3,zeros-la-3-0,zeros-la-3,28,192,3,66,32,0,0,4,2,0,16,8,32,4,3,1,2,1,1,1
192,2,zeros-la-3-0,zeros-la-3,29,192,2,68,32,0,2,4,2,0,16,8,32,4,2,2,2,1,1,1
192,1,zeros-la-3-0,zeros-la-3,30,192,1,70,32,2,4,2,2,16,0,8,32,4,1,3,2,1,1,1
192,0,zeros-la-3-0,zeros-la-3,31,192,0,72,32,2,4,2,2,16,2,8,32,4,0,4,2,1,1,1
200,1,zeros-la-3-0,zeros-la-3,32,200,1,74,32,4,4,4,8,16,4,2,32,0,1,1,4,1,1,1
208,1,zeros-la-3-0,zeros-la-3,33,208,1,76,32,2,4,8,8,16,4,0,2,32,1,2,2,2,1,1
208,0,zeros-la-3-0,zeros-la-3,34,208,0,78,32,2,4,8,2,16,4,8,2,32,0,3,2,2,1,1
212,0,zeros-la-3-0,zeros-la-3,35,212,0,82,32,4,4,8,8,16,4,4,2,32,0,1,4,2,1,1
220,0,zeros-la-3-0,zeros-la-3,36,220,0,84,32,8,8,2,8,16,4,4,2,32,0,2,2,3,1,1
236,0,zeros-la-3-0,zeros-la-3,37,236,0,88,32,16,2,4,8,16,4,4,2,32,0,2,3,1,2,1
244,0,zeros-la-3-0,zeros-la-3,38,244,0,92,32,16,2,8,8,16,32,4,2,4,0,2,2,2,2,1
